date,product_line,imp,clicks,spd,order7d,sales7d
10/9/2022,BE,554037,538,538,538,53800
10/9/2022,C,3666020,3778,3778,3778,1711434
10/9/2022,G,5749471,5457,10914,5457,2668473
10/9/2022,M,1237815,1184,1184,1184,13024
10/9/2022,O,12590907,991,1982,991,414238
10/9/2022,N,111980,341,341,341,341
10/10/2022,BE,36026,990,990,990,9900
10/10/2022,C,2393940,5134,10268,5134,1848240
10/10/2022,G,5842479,13643,27286,13643,10518753
10/10/2022,M,140185,86,86,86,5074
10/10/2022,O,14329881,8394,16788,8394,1158372
10/10/2022,N,266717,474,474,474,474
10/11/2022,BE,78288,641,1923,641,146148
10/11/2022,C,1362934,3959,15836,3959,395900
10/11/2022,G,1411910,6202,12404,6202,3448312
10/11/2022,M,1513579,1196,1196,1196,15548
10/11/2022,O,7412376,9113,9113,9113,6087484
10/11/2022,N,320773,713,713,713,713
10/12/2022,BE,210086,1466,4398,1466,139270
10/12/2022,C,1844835,1799,1799,1799,331016
10/12/2022,G,1101181,3155,6310,3155,2274755
10/12/2022,M,1047263,506,506,506,10120
10/12/2022,O,7609965,20491,20491,20491,6311228
10/12/2022,N,127971,673,673,673,673
10/13/2022,BE,151469,588,1176,588,147588
10/13/2022,C,2390158,4742,4742,4742,1640732
10/13/2022,G,851357,10143,20286,10143,2698038
10/13/2022,M,925877,760,760,760,47880
10/13/2022,O,867623,19075,19075,19075,12761175
10/13/2022,N,21721,901,901,901,901
10/14/2022,BE,168132,108,324,108,19224
10/14/2022,C,656174,2617,2617,2617,10468
10/14/2022,G,6981514,8711,17422,8711,5827659
10/14/2022,M,579853,1578,1578,1578,7890
10/14/2022,O,12527812,7878,15756,7878,3426930
10/14/2022,N,344491,342,342,342,342
10/15/2022,BE,436300,538,538,538,66174
10/15/2022,C,1077359,4404,13212,4404,2008224
10/15/2022,G,6177251,8886,17772,8886,1164066
10/15/2022,M,893125,725,725,725,39150
10/15/2022,O,4619757,22299,22299,22299,3099561
10/15/2022,N,51937,1234,1234,1234,1234
10/16/2022,BE,249509,614,614,614,58944
10/16/2022,C,1401995,1808,5424,1808,206112
10/16/2022,G,147951,8579,8579,8579,4641239
10/16/2022,M,293523,1365,1365,1365,8190
10/16/2022,O,5193504,26457,52914,26457,15080490
10/16/2022,N,15255,67,67,67,67
10/17/2022,BE,588696,466,932,466,61046
10/17/2022,C,398641,5056,20224,5056,2436992
10/17/2022,G,4705110,9130,9130,9130,6327090
10/17/2022,M,1389572,453,453,453,15402
10/17/2022,O,8734095,5511,5511,5511,3273534
10/17/2022,N,299034,989,989,989,989
10/18/2022,BE,185740,196,392,196,2352
10/18/2022,C,1787993,2175,2175,2175,6525
10/18/2022,G,4625689,4572,9144,4572,86868
10/18/2022,M,1532434,1308,1308,1308,39240
10/18/2022,O,9985446,12278,12278,12278,7808808
10/18/2022,N,191836,649,649,649,649
10/19/2022,BE,414263,1314,5256,1314,262800
10/19/2022,C,1782162,3037,6074,3037,176146
10/19/2022,G,4723240,13612,13612,13612,2736012
10/19/2022,M,1006005,317,317,317,7925
10/19/2022,O,10870370,16342,32684,16342,1879330
10/19/2022,N,90176,515,515,515,515
10/20/2022,BE,444731,368,368,368,81328
10/20/2022,C,2183233,4326,12978,4326,592662
10/20/2022,G,2242376,6664,6664,6664,3551912
10/20/2022,M,159371,709,709,709,46085
10/20/2022,O,14339669,29627,59254,29627,7762274
10/20/2022,N,337680,225,225,225,225
10/21/2022,BE,4024,892,892,892,116852
10/21/2022,C,2594499,3117,12468,3117,1262385
10/21/2022,G,3885028,9058,18116,9058,4012694
10/21/2022,M,1512725,46,46,46,2116
10/21/2022,O,13866048,946,1892,946,469216
10/21/2022,N,57709,33,33,33,33
10/22/2022,BE,104076,283,283,283,67920
10/22/2022,C,700214,1547,6188,1547,283101
10/22/2022,G,7002410,964,964,964,904232
10/22/2022,M,450364,257,257,257,10280
10/22/2022,O,11400238,27563,27563,27563,165378
10/22/2022,N,122789,126,126,126,126
10/23/2022,BE,405104,1513,1513,1513,105910
10/23/2022,C,3578806,1401,2802,1401,266190
10/23/2022,G,6695633,6060,6060,6060,4744980
10/23/2022,M,692247,74,74,74,2664
10/23/2022,O,1459098,18164,18164,18164,12060896
10/23/2022,N,161322,852,852,852,852
10/24/2022,BE,147824,584,1168,584,70080
10/24/2022,C,1091870,1212,1212,1212,89688
10/24/2022,G,2105201,12548,25096,12548,9185136
10/24/2022,M,275690,611,611,611,39715
10/24/2022,O,4091990,12953,25906,12953,6981667
10/24/2022,N,160145,1219,1219,1219,1219
10/25/2022,BE,477576,1257,1257,1257,320535
10/25/2022,C,1031773,2214,4428,2214,59778
10/25/2022,G,4079125,5566,11132,5566,4719968
10/25/2022,M,1389131,1540,1540,1540,21560
10/25/2022,O,11506737,28325,56650,28325,12661275
10/25/2022,N,17013,565,565,565,565
10/26/2022,BE,477904,933,3732,933,143682
10/26/2022,C,589771,4906,4906,4906,2320538
10/26/2022,G,4852291,11217,11217,11217,10801971
10/26/2022,M,212270,464,464,464,13456
10/26/2022,O,7527216,14823,29646,14823,3883626
10/26/2022,N,244387,741,741,741,741
10/27/2022,BE,304854,283,1132,283,62826
10/27/2022,C,3836944,5210,10420,5210,453270
10/27/2022,G,3971265,9615,19230,9615,2721045
10/27/2022,M,1517426,1547,1547,1547,92820
10/27/2022,O,11529840,24721,24721,24721,2645147
10/27/2022,N,285427,515,515,515,515
10/28/2022,BE,442515,1107,1107,1107,185976
10/28/2022,C,2458827,4457,17828,4457,1412869
10/28/2022,G,4457083,13851,13851,13851,1163484
10/28/2022,M,1431057,1526,1526,1526,38150
10/28/2022,O,6728997,28064,28064,28064,17680320
10/28/2022,N,120747,1128,1128,1128,1128
10/29/2022,BE,443040,414,1242,414,7452
10/29/2022,C,872692,1988,1988,1988,326032
10/29/2022,G,7306358,12635,12635,12635,4864475
10/29/2022,M,1214449,133,133,133,9709
10/29/2022,O,6845359,21295,21295,21295,4621015
10/29/2022,N,252374,119,119,119,119
10/30/2022,BE,26710,1675,3350,1675,212725
10/30/2022,C,1367673,2626,2626,2626,1415414
10/30/2022,G,3213054,5555,11110,5555,4677310
10/30/2022,M,202647,1228,1228,1228,104380
10/30/2022,O,3546638,3045,6090,3045,934815
10/30/2022,N,115139,582,582,582,582
10/31/2022,BE,481096,337,674,337,80206
10/31/2022,C,2989109,730,2190,730,14600
10/31/2022,G,1131989,4064,8128,4064,3153664
10/31/2022,M,1182572,837,837,837,9207
10/31/2022,O,5631608,18714,37428,18714,11321970
10/31/2022,N,131741,498,498,498,498
11/1/2022,BE,272168,85,255,85,16915
11/1/2022,C,3521522,2144,2144,2144,540288
11/1/2022,G,147630,6057,6057,6057,1035747
11/1/2022,M,331380,1064,1064,1064,87248
11/1/2022,O,5084286,4692,9384,4692,2946576
11/1/2022,N,88938,768,768,768,768
11/2/2022,BE,287535,437,874,437,23161
11/2/2022,C,3578794,5144,20576,5144,787032
11/2/2022,G,4910204,12792,12792,12792,3505008
11/2/2022,M,227121,1294,1294,1294,45290
11/2/2022,O,3675751,23214,46428,23214,2321400
11/2/2022,N,1600,826,826,826,826
11/3/2022,BE,42103,130,520,130,28080
11/3/2022,C,823478,3241,12964,3241,1685320
11/3/2022,G,3144337,2451,4902,2451,1507365
11/3/2022,M,970838,1032,1032,1032,89784
11/3/2022,O,14788141,21231,21231,21231,13290606
11/3/2022,N,266792,834,834,834,834
11/4/2022,BE,112499,1410,5640,1410,109980
11/4/2022,C,158129,3360,6720,3360,124320
11/4/2022,G,2346608,5258,10516,5258,404866
11/4/2022,M,578094,563,563,563,46166
11/4/2022,O,5251778,15660,15660,15660,6342300
11/4/2022,N,224416,560,560,560,560
11/5/2022,BE,178991,246,984,246,69864
11/5/2022,C,2002217,4099,8198,4099,2233955
11/5/2022,G,5586246,11509,11509,11509,2693106
11/5/2022,M,1175735,510,510,510,45900
11/5/2022,O,12882836,20018,20018,20018,1381242
11/5/2022,N,147947,807,807,807,807
11/6/2022,BE,304048,1222,4888,1222,29328
11/6/2022,C,1557828,1843,3686,1843,809077
11/6/2022,E,9806980,38865,77730,38865,11193120
11/6/2022,G,6917885,2218,4436,2218,106464
11/6/2022,M,1026740,980,980,980,16660
11/6/2022,O,8020089,6544,6544,6544,3501040
11/6/2022,P,8596163,10156,10156,10156,2295256
11/6/2022,N,114263,1017,1017,1017,1017
11/7/2022,BE,586723,27,27,27,972
11/7/2022,C,3230596,4720,4720,4720,2166480
11/7/2022,E,5644687,6119,12238,6119,2300744
11/7/2022,G,3793126,13604,27208,13604,5618452
11/7/2022,M,425131,1070,1070,1070,74900
11/7/2022,O,13240482,29833,59666,29833,14379506
11/7/2022,P,6907235,13053,26106,13053,7113885
11/7/2022,N,245377,878,878,878,878
11/8/2022,BE,11219,316,632,316,14852
11/8/2022,C,1450392,971,971,971,333053
11/8/2022,E,2152263,25705,25705,25705,9973540
11/8/2022,G,642271,4807,9614,4807,4528194
11/8/2022,M,1493041,1071,1071,1071,81396
11/8/2022,O,14304953,20775,20775,20775,12340350
11/8/2022,P,3809779,7002,14004,7002,1064304
11/8/2022,N,223955,1229,1229,1229,1229
11/9/2022,BE,315260,1389,4167,1389,137511
11/9/2022,C,2058195,5447,21788,5447,1470690
11/9/2022,E,2792312,13843,27686,13843,1675003
11/9/2022,G,1220094,4597,4597,4597,2854737
11/9/2022,M,1252934,1523,1523,1523,134024
11/9/2022,O,13649226,16853,16853,16853,1415652
11/9/2022,P,3357477,7781,7781,7781,93372
11/9/2022,N,72842,126,126,126,126
11/10/2022,BE,117495,1243,2486,1243,227469
11/10/2022,C,1884703,3359,10077,3359,1904553
11/10/2022,E,541483,19500,39000,19500,4368000
11/10/2022,G,4720977,4244,8488,4244,110344
11/10/2022,M,716371,386,386,386,3088
11/10/2022,O,7450504,11399,22798,11399,5950278
11/10/2022,P,1055234,3861,3861,3861,2795364
11/10/2022,N,337348,315,315,315,315
11/11/2022,BE,350612,928,1856,928,57536
11/11/2022,C,3380927,361,1444,361,59565
11/11/2022,E,1938580,32633,32633,32633,5939206
11/11/2022,G,1954246,11284,11284,11284,8045492
11/11/2022,M,148270,1325,1325,1325,42400
11/11/2022,O,8894525,18855,18855,18855,10219410
11/11/2022,P,7666146,502,502,502,44176
11/11/2022,N,42757,811,811,811,811
11/12/2022,BE,18805,995,3980,995,88555
11/12/2022,C,1889959,5233,20932,5233,486669
11/12/2022,E,1586950,1675,3350,1675,348400
11/12/2022,G,5320234,11461,11461,11461,4435407
11/12/2022,M,313515,913,913,913,64823
11/12/2022,O,3588769,1299,1299,1299,328647
11/12/2022,P,5984501,580,1740,580,209380
11/12/2022,N,38793,168,168,168,168
11/13/2022,BE,537742,935,1870,935,152405
11/13/2022,C,3138722,4555,9110,4555,856340
11/13/2022,E,3192294,3126,3126,3126,456396
11/13/2022,G,7385097,2329,4658,2329,1453296
11/13/2022,M,654627,260,260,260,6500
11/13/2022,O,5504217,21654,43308,21654,9441144
11/13/2022,P,2941445,14333,42999,14333,515988
11/13/2022,N,267862,91,91,91,91
11/14/2022,BE,566981,1114,1114,1114,21166
11/14/2022,C,2424357,541,1623,541,89265
11/14/2022,E,5709101,19329,19329,19329,5180172
11/14/2022,G,4720282,4638,4638,4638,1493436
11/14/2022,M,1151311,970,970,970,17460
11/14/2022,O,5946982,29517,59034,29517,13872990
11/14/2022,P,3109750,12895,25790,12895,3610600
11/14/2022,N,136587,886,886,886,886
